PKNC_1,PKNC_2,PKNC_3,PKNC_4,PKNC_5,PKNC_6,PKNC_7,PKNC_8,PKNC_9,PKNC_10,PKNC_11,PKNC_12,PKNC_13,PKNC_14,PKNC_15,PKNC_16,PKNC_17,PKNC_18,PKNC_19,PKNC_20,PKNC_21
0,0.06203625,0,0.06203625,0.06203625,0.09305438,0,0.06203625,0.03101813,0,0.03101813,0,0.03101813,0.06203625,0.03101813,0.03101813,0.07017771,0.10682556,0.09695331,0.08354387,0.08417326
0.05079314,0,0.02539657,0.02539657,0,0,0,0,0.05079314,0,0.15237941,0.02539657,0.02539657,0,0.05079314,0.05079314,0.05058612,0.111486,0.1498393,0.14029676,0.0906536
0,0.02791779,0,0.02791779,0.02791779,0,0,0.02791779,0.02791779,0,0.11167114,0.05583557,0,0.02791779,0.05583557,0.11167114,0.06316513,0.10395518,0.11144651,0.11081231,0.10810072
0,0.03395719,0.10187156,0.03395719,0.03395719,0,0,0.03395719,0.13582875,0,0.06791437,0.03395719,0.03395719,0.03395719,0.06791437,0,0.06970623,0.06507292,0.07340932,0.0820215,0.09856067
0,0.03048341,0,0.03048341,0.06096681,0.09145022,0,0.09145022,0,0.03048341,0.03048341,0,0.03048341,0.09145022,0.03048341,0.03048341,0.07323975,0.11147269,0.10427287,0.07476954,0.08754385
0,0.03367826,0.10103478,0.06735652,0,0,0,0.03367826,0.13471304,0,0.06735652,0.03367826,0.03367826,0.03367826,0.06735652,0,0.06771564,0.0676373,0.0736672,0.08479911,0.09997208
0,0.02990006,0.02990006,0.05980012,0.05980012,0,0,0.02990006,0.02990006,0.02990006,0.05980012,0.02990006,0,0.02990006,0.08970018,0.05980012,0.06411947,0.09799228,0.09912968,0.09831108,0.10224642
0.08507723,0.02835908,0.02835908,0.05671815,0.05671815,0.02835908,0,0.02835908,0.05671815,0.02835908,0.02835908,0,0,0.02835908,0.05671815,0,0.07395744,0.12115533,0.10979832,0.09796345,0.08666211
0,0.03045706,0,0.03045706,0.03045706,0.06091412,0,0.09137117,0,0.03045706,0.03045706,0,0.03045706,0.09137117,0.03045706,0.09137117,0.06429909,0.10214873,0.1058436,0.08764679,0.09183474
0,0.02772269,0.02772269,0.02772269,0.02772269,0,0,0,0.02772269,0,0.11089077,0.05544539,0,0.02772269,0.05544539,0.11089077,0.06126492,0.10213593,0.11840274,0.10954029,0.10964764
0.09323919,0.03107973,0.09323919,0,0.03107973,0,0,0.03107973,0.06215946,0.03107973,0.09323919,0.03107973,0,0.03107973,0.03107973,0,0.06082817,0.09692073,0.09828931,0.08879918,0.09572748
0.08525679,0.02841893,0.08525679,0.02841893,0.02841893,0.08525679,0,0,0.05683786,0.02841893,0.05683786,0,0.02841893,0,0,0,0.07064052,0.10283773,0.08770967,0.11813748,0.10913386
0,0.03044065,0,0.03044065,0.03044065,0.12176258,0.03044065,0.06088129,0,0,0,0.03044065,0.03044065,0.12176258,0,0.06088129,0.0832089,0.12143248,0.09402352,0.08018395,0.07321953
0.08504774,0.02834925,0.02834925,0.0566985,0.0566985,0.02834925,0,0.02834925,0.0566985,0.02834925,0.02834925,0,0,0.02834925,0.0566985,0,0.07955253,0.11630761,0.10510505,0.09654288,0.09220545
0,0.10416079,0.03472026,0.03472026,0.10416079,0.03472026,0,0.06944052,0.06944052,0,0,0.03472026,0.03472026,0.06944052,0.03472026,0,0.06595099,0.0794973,0.06934225,0.08627764,0.0739671
0.12046099,0.03011525,0.12046099,0,0.03011525,0.03011525,0,0.03011525,0.09034575,0.03011525,0.0602305,0,0,0,0,0,0.08160457,0.11116618,0.09152166,0.08658904,0.08704406
0.06159706,0.03079853,0.09239559,0,0.03079853,0,0,0.06159706,0.09239559,0.06159706,0.06159706,0,0,0,0.06159706,0,0.08313568,0.111165,0.07985234,0.07956894,0.09190451
0.05782043,0,0.02891021,0.05782043,0,0.02891021,0,0.05782043,0.02891021,0,0.05782043,0.02891021,0.02891021,0.05782043,0.05782043,0.02891021,0.05703152,0.08916839,0.09744056,0.11312192,0.12285376
0.02716163,0.08148489,0,0.05432326,0.08148489,0.05432326,0.02716163,0,0.02716163,0.02716163,0.02716163,0,0.02716163,0,0.02716163,0.02716163,0.06136027,0.08684979,0.10995978,0.12303115,0.1298897
0.02860084,0.05720169,0.05720169,0.02860084,0.02860084,0.02860084,0.02860084,0,0.11440337,0,0.05720169,0,0,0,0.02860084,0.05720169,0.07428527,0.09760627,0.10237862,0.1166912,0.09422348
