APKNC_1,APKNC_2,APKNC_3,APKNC_4,APKNC_5,APKNC_6,APKNC_7,APKNC_8,APKNC_9,APKNC_10,APKNC_11,APKNC_12,APKNC_13,APKNC_14,APKNC_15,APKNC_16,APKNC_17,APKNC_18,APKNC_19,APKNC_20,APKNC_21,APKNC_22,APKNC_23,APKNC_24,APKNC_25,APKNC_26,APKNC_27,APKNC_28,APKNC_29,APKNC_30,APKNC_31,APKNC_32,APKNC_33,APKNC_34,APKNC_35,APKNC_36,APKNC_37,APKNC_38,APKNC_39,APKNC_40,APKNC_41,APKNC_42,APKNC_43,APKNC_44,APKNC_45,APKNC_46,APKNC_47,APKNC_48,APKNC_49,APKNC_50,APKNC_51,APKNC_52,APKNC_53,APKNC_54,APKNC_55,APKNC_56,APKNC_57,APKNC_58,APKNC_59,APKNC_60,APKNC_61,APKNC_62,APKNC_63,APKNC_64,APKNC_65,APKNC_66,APKNC_67,APKNC_68,APKNC_69,APKNC_70,APKNC_71,APKNC_72,APKNC_73,APKNC_74,APKNC_75,APKNC_76,APKNC_77,APKNC_78,APKNC_79,APKNC_80,APKNC_81,APKNC_82,APKNC_83,APKNC_84,APKNC_85,APKNC_86,APKNC_87,APKNC_88,APKNC_89,APKNC_90,APKNC_91,APKNC_92,APKNC_93,APKNC_94,APKNC_95,APKNC_96,APKNC_97,APKNC_98,APKNC_99,APKNC_100,APKNC_101,APKNC_102,APKNC_103,APKNC_104,APKNC_105,APKNC_106,APKNC_107,APKNC_108,APKNC_109,APKNC_110,APKNC_111,APKNC_112,APKNC_113,APKNC_114,APKNC_115,APKNC_116,APKNC_117,APKNC_118,APKNC_119,APKNC_120,APKNC_121,APKNC_122,APKNC_123,APKNC_124,APKNC_125,APKNC_126
0,0.08024623,0,0.08024623,0.08024623,0.12036935,0,0.08024623,0.04012312,0,0.04012312,0,0.04012312,0.08024623,0.04012312,0.04012312,0.00599769,0.02392289,0.04681086,0.00251835,0.02302227,0.00047105,0.00127775,-0.01446335,0.04777233,0.04832088,0.00750624,0.01592411,0.00287383,-0.01045291,0.01308244,0.01553598,0.01457722,0.0040707,0.04518097,-0.00429102,0.05047029,0.00797094,-0.01336902,0.01129692,0.01946816,0.02520848,-0.00643341,-0.00162327,-0.02490592,0.00113932,0.01691937,0.01951112,-0.01637697,-0.01691937,-0.01315023,-0.03848568,-0.02123155,-0.026206,-0.0186119,-0.02713536,0.01130406,-0.01845925,-0.02259027,-0.0338872,-0.01296961,0.00301251,0.00174892,0.01598469,0.01391868,0.00289029,-0.01618825,-0.00341045,0,0.00338295,-0.01247172,0,-0.01268961,0.01131301,-0.00720729,-0.01645215,-0.0048064,-0.013773,-0.0030049,0.01791313,-0.03312241,-0.0030087,0.01462887,-0.00645538,-0.02293832,0.01963147,0.01601403,-0.00117519,0.0155416,-0.0136268,-0.01933642,-0.01613348,0.01539747,0.00966821,0.01474133,0.01437005,0.01528367,0.00342798,0.01166433,0.01832479,-0.00644722,0.01192038,-0.01290669,0.01290669,0.0329415,0.01042793,-0.00884888,-0.00207923,0.00031518,0.00717016,0.02064166,0.01836306,-0.02082383,-0.01207164,0.02051502,0,0.02263044,0.00759988,0.01277226,0.00352348,0.0087678,0.02033365,-0.01041914,-0.03308922,0.00347158,-0.00348037
0.11851791,0,0.05925896,0.05925896,0,0,0,0,0.11851791,0,0.35555373,0.05925896,0.05925896,0,0.11851791,0.11851791,0.06659392,0.08240255,0.06022159,0.00456614,0.08420472,0.00336724,0.04096381,0.0541453,0.11759381,0.07016384,0.06805275,0.07055629,0.05654439,0.01973991,0.07010868,0.10643564,0.08131845,0.05322612,0.16869123,0.0061364,0.06673896,0.0902542,-0.04545865,0.00834237,0.03636479,-0.02653838,0.03501926,-0.00089848,-0.03418559,-0.01618132,0.06247171,0.02786063,-0.04987852,-0.04997737,-0.04289635,-0.0333621,-0.04728584,0.05967591,-0.05931787,-0.03877104,0.00831601,0.00507821,0.06673896,0.01668474,-0.10544192,-0.04891941,0.01828395,0.00321874,-0.0032964,-0.0065324,-0.07253069,-0.04661287,0.0266546,0.00438335,-0.11745716,-0.11994569,-0.10036642,-0.03644312,-0.11772047,-0.0053564,-0.13813335,-0.08983357,-0.08449665,0.02832944,0.06673896,-0.04002088,-0.07452824,-0.076249,0.00486622,-0.01149878,-0.01120233,-0.00087911,-0.05439125,-0.02754921,0.0285585,0.00201918,-0.08170155,-0.08567549,-0.07072887,-0.05287598,-0.08377433,-0.03914154,-0.09608374,-0.06602403,-0.0381245,0.01253674,0.06673896,-0.04765261,0.03127282,-0.066713,0.00026172,0.02319784,0.05076138,0.00564392,0.00647695,0.06131631,0.04613296,0.00675259,0.0190032,0.01537765,0.01999899,0.01833581,0.01582001,-0.0304968,0.02254679,0.01131942,0.09745721,0.01308976,0.06673896,-0.03592339
0,0.02933769,0,0.02933769,0.02933769,0,0,0.02933769,0.02933769,0,0.11735076,0.05867538,0,0.02933769,0.05867538,0.11735076,0.01657083,0.02137938,0.00999788,0.00889839,0.02578986,-0.00055464,0.00389603,0.00473404,0.02910894,0.02333832,0.02378898,0.02910894,0.01889778,-0.00760942,0.02404505,0.06171151,0.03252842,0.00991401,0.067986,-0.00038107,0.0291537,0.05243736,-0.01198003,0.01239032,-0.0079878,-0.00521305,0.01867329,-0.00044481,-0.0106373,-0.01425445,0,-0.00622772,-0.00590937,0,-0.0071766,-0.01514715,-0.00283947,0.05349527,-0.00210398,-0.01000459,0.03715009,-0.00597328,0.02478065,-1.04E-05,-0.01379475,0.01541907,0.0051576,-0.01676139,0.01524757,-0.00071613,-0.01807534,-0.00560307,0.00659803,0.00183567,-0.01893906,-0.01319605,-0.01873571,-0.00080448,-0.01641514,0.05014324,-0.01781036,-0.01905935,0.02861871,-0.01909698,0.01982452,-0.01101084,-0.00612318,0.01416037,-0.00089033,-0.00728323,0.02133965,0.00226253,-0.00175623,-0.00764808,0,-0.00617588,-0.01255101,-0.01413863,-0.00944326,0.00413592,-0.01023767,0.039014,-0.0161236,-0.00373402,0.02358272,-0.00536249,0.01416037,-0.01415142,-0.00525466,0.01270802,-0.00720328,0.00118012,0.02287216,-0.00011111,0.00444396,0.00938744,-0.01522622,-0.01224548,-0.01446258,-0.01522622,-0.01184882,-0.00033281,-0.01102984,0.03992574,-0.0173819,0.00038257,0.00253197,0.01270711,0.01270802,-0.01778481
0,0.02445971,0.07337914,0.02445971,0.02445971,0,0,0.02445971,0.09783886,0,0.04891943,0.02445971,0.02445971,0.02445971,0.04891943,0,0.00331437,0.01134295,0.02068446,0.00925255,0.01274975,-0.00254392,-0.02368538,-0.001159,0.0388304,0.01876412,0.00365116,0.0097076,0.00108061,-0.00151602,0.00432501,-0.00054752,0.00830586,-0.01465257,0.0372533,-0.0023065,0.01782463,0.01134295,0.01191791,0,0.02074094,0.0113772,-0.00044101,-0.00104552,0.02642587,0.00335003,0.03610014,0.0195216,0.00357538,0,0.00445102,0.0124981,0.00242924,-0.01131355,0.00120191,0.01896528,0.02065167,0.00281175,0.00688679,0.00688679,0.00271599,-0.00550943,0.02185936,0.0088307,0.00101699,-0.00551521,-0.01099681,0.0126809,0.03850681,0.02334571,0.00363413,0,0.00457523,0.0167199,0.00195262,-0.01783584,0.00124843,-0.00548086,0.02019197,0.01147617,0.01285534,0.00918239,0.00561778,-0.01180593,0.00621341,0.00319608,-0.00548874,0.00336449,0.01374179,-0.00571199,0.0235756,0.00795767,0.00059907,-0.0058939,0.00191847,0.01224548,-0.00289421,0.00513437,-0.00480789,0.00877517,0.01180095,-0.00593862,0.01967654,0.00393531,-0.00597771,-0.00211901,0.01014955,0.00490835,-0.01616802,0.00232958,-0.01923007,0.00740746,0.01904183,0.00961134,-0.00981842,-0.01269455,-0.00887991,-0.00064348,-0.01339942,0.00624649,-0.01219649,-0.01698975,0.00635704,0.00092447,0.01483309,0.00635704
0,0.02967778,0,0.02967778,0.05935556,0.08903334,0,0.08903334,0,0.02967778,0.02967778,0,0.02967778,0.08903334,0.02967778,0.02967778,0.00190548,0.01376277,0.02918522,-0.00350178,0.00145955,-0.00477948,0.00274669,-0.00777797,0.03533565,0.02960001,0.01020306,0.01766783,0.00578509,-0.01340521,0.01441973,0.01377313,0.01775894,0.00653833,0.03341891,-0.00078933,0.04519569,0.00982807,-0.00508912,-0.00417799,-0.00407546,-0.00255104,0.00374426,-0.00306523,-0.02009401,-0.00922054,0.00625736,-0.00818115,-0.01203831,-0.01251471,-0.0117282,-0.00213489,-0.01873848,-0.01049938,-0.01286087,-0.02297229,0.00836125,0.0069551,-2.64E-06,-0.02924326,0.00189681,0.00668478,0.02551071,0.00271923,0.00337789,-0.00295607,-0.02050648,0.01184294,0.02002354,0.02189473,-0.01357281,-0.01334902,-0.01280865,-0.00542272,-0.01818407,-0.0104452,-0.01222494,-0.02163155,-0.00222262,-0.00973096,-0.00222544,-0.01113848,-0.00466514,0.01432452,0.03792738,-0.00070324,-0.00171371,0.01201178,0.01403643,0.00061017,0.02860505,0.03745378,0.0187494,0.00715126,0.0205133,-0.00861548,0.0150464,0.00438263,0.01281617,0.0151318,-0.0047688,0.00659831,0.02863999,0.01909634,0.00208586,0.0077132,0.00640064,-0.00870461,-0.03187935,0.00383682,0.01925457,0.00216699,0.00770136,0.00322,0.02119435,0.01540272,0.01738224,-0.00501858,0.02550429,0.00459535,0.02293738,0.02338164,-0.0077067,-0.00940655,0.03340763,0.00770995
0,0.02416896,0.07250689,0.04833792,0,0,0,0.02416896,0.09667585,0,0.04833792,0.02416896,0.02416896,0.02416896,0.04833792,0,0.00482066,0.01120812,0.02069563,0.00851082,0.01294448,-0.00291462,-0.02089249,-0.00277198,0.03836882,0.0194729,0.00411298,0.00959221,0.00162685,0.00621137,0.00532713,7.84E-05,0.00833947,-0.01218226,0.03360816,-0.00363309,0.01761275,0.01441043,0.00912015,0.00340246,0.02283729,0.01344046,-0.00024658,5.96E-05,0.01859035,0.00541409,0.03567101,0.0208811,0.00245574,0,0.00399568,0.01104298,0.0005568,-0.0059181,0.00018529,0.01250247,0.02040618,0.00044969,0.01020739,0.00680493,0.00266679,-0.00181465,0.02485975,0.00697357,0.00069156,-0.00797836,-0.00613206,0.01140809,0.03804908,0.02557376,0.00375754,0,0.00451643,0.00615073,0.00290069,-0.01762383,0.00150206,-0.00159434,0.01995194,0.01285588,0.01633183,0.00907324,0.00290167,-0.00777706,0.01057772,0.00682392,-0.00527754,0.00359952,0.00700524,-0.00641722,0.02329536,0.01193892,-0.00082335,-0.00582384,0.00115448,0.01462205,-0.00520536,0.00582544,-0.00591684,0.0028486,0.00777214,-0.00511547,0.01944265,0.00388853,-0.00610441,-0.00209382,0.01227273,0.0036544,-0.01611095,-9.15E-05,-0.01571742,0.0107414,0.01881548,0.0108161,-0.00930204,-0.01254365,-0.00845134,-0.00180057,-0.01186245,0.00050717,-0.01172364,-0.01378516,0.00209382,0.00102906,0.01465677,0.00209382
0,0.04410834,0.04410834,0.08821668,0.08821668,0,0,0.04410834,0.04410834,0.04410834,0.08821668,0.04410834,0,0.04410834,0.13232503,0.08821668,0.0131637,0.0204548,0.02717333,0.01663241,-0.01776811,-0.00062688,0.02156882,-0.02172515,0.03501154,0.03581378,0.02871026,0.02625865,0.02537428,0.01077528,0.02910405,0.02273743,0.03202947,0.02578341,0.04381695,0.01302357,0.01461057,0.07302332,0.00593214,0.00620949,0.00537448,-0.01666042,-0.00201501,-0.01897719,-0.00146771,0.00637667,0,0.00205548,0.00024228,0.00929994,-0.00388216,7.96E-05,0.00165417,-0.02519895,0.00832133,-0.00074622,-0.02482228,-0.01512038,-0.01862848,0.03724911,0.00863288,0.00331173,0.00305437,-0.00374105,-0.01951868,-0.01007499,-0.00073207,0.00478733,0,-0.00207852,0.0078574,0.00991994,0.00620751,0.02105671,0.00899995,-0.0167978,0.01020219,0.00183673,-0.02318211,-0.03435085,-0.00331173,0.00993519,-0.00648379,-0.01419313,-0.00483833,-0.02824783,0.00343663,0.01721484,-0.00167513,0.00293624,0,-0.00507153,0.0050556,-0.0106285,0.0103929,0.00259214,-0.00640522,0.02434946,-0.00920952,-0.0028621,0.00707863,-0.01506696,0.02128969,-0.01418864,-0.00467567,-0.01910614,-0.02205751,0.00114594,0.00794249,0.01252835,-0.00096285,0.00563513,-0.02289216,-0.02565343,-0.01898271,-0.02289216,-0.01546845,-0.0018018,-0.02244769,0.01126433,-0.0257133,-0.00811327,-0.01146851,0.01733356,0.01910614,-0.03438138
0.22118958,0.07372986,0.07372986,0.14745972,0.14745972,0.07372986,0,0.07372986,0.14745972,0.07372986,0.07372986,0,0,0.07372986,0.14745972,0,0.02797955,0.10251272,0.07514368,0.00352475,-2.90E-05,-0.00261907,-0.02381457,-0.0024695,0.07315498,0.06275653,0.02111558,0.02926199,0.01650257,-0.01131993,0.01529717,0.05309035,0.02971439,-0.01285212,0.05371713,-0.00519442,0.04394813,0.03419149,-0.04247024,-0.02075912,-0.01862026,-0.06244476,-0.01632304,0.00852253,-0.08380489,-0.00766827,-0.01554543,-0.01358242,-0.04926474,-0.0466363,-0.04509555,-0.04288145,-0.06284072,0.0240592,-0.05958099,-0.0807536,-0.01036644,0.00294388,-0.020746,-0.01037956,-0.05881035,-0.04979389,-0.05104003,-0.03082175,0.01195577,0.00314489,0.02663652,-0.02845518,-0.04974539,-0.03814953,-0.02067271,-0.0165818,-0.01903996,-0.03486249,-0.00177753,0.02539528,-0.02030681,0.01951859,0.01660729,0.00119599,-0.00553576,-0.00553576,-0.02543292,-0.02371721,-0.0414263,0.01906718,-0.02730437,0.00759396,0.03534179,-0.04462379,-0.03553242,-0.03120586,0.00569621,0,0.00705283,-0.01510826,0.02181439,0.0292166,0.0030869,0.03413762,0.02372471,0.01006948,-0.01186235,0.01186235,0.02222563,0.07019704,0.01141242,0.03020873,-0.00808337,-0.02379161,-0.01709102,0.03801366,0,0.00460596,0.01831917,0.01913284,0.01642196,-0.0111072,0.00507868,0.01140223,0.01930766,-0.01160057,-0.00637935,-0.0122521,-0.07024548,0.0319371
0,0.0228271,0,0.0228271,0.0228271,0.0456542,0,0.0684813,0,0.0228271,0.0228271,0,0.0228271,0.0684813,0.0228271,0.0684813,0.0081864,0.01361037,0.02496503,0.01464322,0.00255061,-0.00340448,0.00457098,-0.0040518,0.03170876,0.03298422,0.02053228,0.02264911,0.01737969,-0.00619168,0.01954967,0.01936534,0.02450967,0.00896042,0.02570464,0.00632714,0.0287177,0.0347572,0.0013104,0.00321356,0.00832765,-0.00156028,0.00737685,-0.0029873,-0.01116077,-0.00713154,0.01443881,0.0109771,-0.00281994,0,-0.0043016,0.00433442,-0.00589095,8.90E-07,0.00023654,-0.01176509,0.00643118,0.00670308,0.0032095,-1.22E-05,-0.00010391,0.00514169,0.02340785,-0.01130963,0.00885718,-0.00196575,-0.01520523,0.00806323,0.0205352,0.02251262,-0.00921678,-0.0051338,-0.00962372,-0.00417096,-0.01098902,-0.01134523,-0.00642861,-0.01562444,-0.00170956,-0.00905243,0.0017139,-0.00513953,-0.00021292,0.00367264,0.01805079,-0.00556271,-0.0024457,0.01028857,0.01089179,0.00068462,0.0165015,0.01628396,0.01367561,0.0055005,0.01476484,-0.00247242,0.01173969,-0.00656575,0.00957918,0.01219951,-0.003668,-0.00182079,0.01468591,0.0073476,0.00713043,0.00593272,0.00985859,-0.01102058,-0.01249769,0.00040981,0.01299872,0.00543276,0.01184723,0.01025376,0.00917228,0.00592361,0.00717299,-0.00077091,0.01109591,-0.00028598,0.00966265,0.0140345,-0.00197257,-0.00831556,0.01383302,0.00593022
0,0.03229351,0.03229351,0.03229351,0.03229351,0,0,0,0.03229351,0,0.12917404,0.06458702,0,0.03229351,0.06458702,0.12917404,0.01763811,0.02781219,0.01980172,0.01003055,0.02830215,-0.00061053,6.83E-05,0.005211,0.03845006,0.03307401,0.02598419,0.03204171,0.02049372,-0.00536292,0.02621284,0.06792904,0.03577172,0.00800298,0.0748357,0.00322609,0.03209098,0.0619993,-0.0129502,0.01818489,-0.00322743,-0.00568793,0.02032583,-0.00422641,-0.00577897,-0.01569061,0,-0.00185255,-0.0062863,0,-0.00787783,-0.01324324,-0.00190888,0.058885,-0.00198408,-0.00622575,0.0363468,-0.00245836,0.02727734,-1.15E-05,-0.01409783,0.01212326,-0.0082581,-0.01957276,0.01690564,0.00120467,-0.01588476,-0.00616759,-0.00726279,-0.01384191,-0.01961208,-0.01452558,-0.01905144,-0.00576307,-0.01633861,0.04769716,-0.01910674,-0.01715221,0.02665279,-0.01714592,0.02182187,-0.02181574,-0.00725437,0.01039137,-0.01099722,-0.00698604,0.02330663,0.00249048,-0.00237524,-0.00841864,-0.00778156,-0.01961294,-0.01466785,-0.01556312,-0.01138002,0.0021997,-0.0125055,0.04093486,-0.0181913,-0.00524787,0.02595872,-0.01116054,0.02078273,-0.02596528,-0.00727123,0.00839303,-0.01291602,0.00197767,0.02590932,-0.00242186,-0.00181358,0.01033324,-0.01676028,-0.02134899,-0.01758618,-0.01676028,-0.01488323,0.00357394,-0.01546918,0.03421444,-0.0200759,-0.00645174,0.00837888,0.01190148,0.01958373,-0.02516847
